frase, categoria
Donna: Sono stata a Parigi per un weekend. Uomo: E come ti è piaciuto il tuo viaggio?,saluti
Donna: Sto cercando un regalo per il mio compleanno. Uomo: E cosa ti piacerebbe ricevere?,saluti
Donna: Non ho mai imparato a guidare un'auto. Uomo: E come fai a muoverti in città?,saluti
"Donna: Vorrei un nuovo smartphone, ma non so scegliere. Uomo: Posso aiutarti a scegliere il modello giusto.",saluti
Donna: Sto pensando di cambiare lavoro. Uomo: Quali sono i motivi che ti spingono a fare questo?,carriera
Donna: Non mi piace il cibo in ristorante cinese. Uomo: E qual è il tuo ristorante preferito?,saluti
Donna: Ho bisogno di un nuovo asciugamano per il bagno. Uomo: Posso andare a comprarlo stasera.,saluti
Donna: Non ho mai visitato il Colosseo. Uomo: Deve essere un posto unico da vedere.,saluti
"Donna: Sto soffrendo di un raffreddore. Uomo: Bevi un po' di tè caldo, ti farà bene.",saluti
"Donna: Vorrei imparare a suonare il pianoforte. Uomo: Inizia con le lezioni online, è un buon inizio.",saluti
Donna: Non mi piace la musica rock. Uomo: E qual genere di musica ascolti?,saluti
Donna: Ho perso il mio orologio. Uomo: Spero che lo troviamo.,saluti
Donna: Sto cercando un appartamento in centro. Uomo: E quali sono i tuoi requisiti?,saluti
"Donna: Non ho tempo di andare al cinema oggi. Uomo: Possiamo andarci stasera, se vuoi.",saluti
"Donna: Sto pensando di comprare un gatto. Uomo: Sono un'idea meravigliosa, un gatto è un animale adorabile.",saluti
"Donna: Non so come cucinare il risotto. Uomo: Ti insegno a farlo, è facile.",saluti
Donna: Vorrei andare in vacanza in Grecia. Uomo: E quali isole ti piacciono di più?,saluti
"Donna: Sto soffrendo di stress a causa del lavoro. Uomo: Prenditi un po' di tempo libero, ti farà bene.",carriera
"Donna: Non ho mai visitato il Museo di Firenze. Uomo: Deve essere un posto da vedere, è molto bello.",apparenza
Donna: Sto cercando un libro sulla storia d'Italia. Uomo: Posso aiutarti a trovare il libro giusto.,saluti
"Donna: Qual è il tuo weekend preferito all'anno? Uomo: Il weekend di Natale, con la famiglia.",famiglia
Donna: Sto pensando di comprare un nuovo computer. Uomo: E quali caratteristiche stai cercando?,affetto
"Donna: Non ho mai visto il mare in inverno. Uomo: E come cambia in inverno, è molto bello.",apparenza
"Donna: Vorrei imparare a cucinare il pollo alla cacciatora. Uomo: Ti insegno a farlo, è un piatto facile.",saluti
"Donna: Sto soffrendo di dolori alla testa. Uomo: Bevi un po' d'acqua, ti farà bene.",saluti
Donna: Non mi piace il pallacanestro. Uomo: E qual sport ti piace?,hobby
Donna: Sto cercando un nuovo libro da leggere. Uomo: Qual genere di libri ami?,saluti
Donna: Non ho mai visitato la Svizzera. Uomo: Deve essere un paese molto bello.,apparenza
Donna: Sto pensando di cambiare il mio stile di vita. Uomo: Quali sono i cambiamenti che vuoi apportare?,saluti
Donna: Non ho tempo di guardare la TV oggi. Uomo: Possiamo guardare un film stasera.,saluti
Donna: Vorrei andare in vacanza in Svezia. Uomo: E quali città ti piacciono di più?,saluti
"Donna: Non so come preparare il tè. Uomo: Ti insegno a farlo, è facile.",saluti
Donna: Sto cercando un nuovo lavoro in ufficio. Uomo: Quali sono le tue competenze?,carriera
Donna: Non mi piace il gelato di cioccolato. Uomo: E qual gusto di gelato ami?,saluti
Donna: Sto soffrendo di insonnia da un mese. Uomo: Cerchiamo insieme una soluzione per il tuo problema.,conflitti
Donna: Non ho mai visto un'opera lirica. Uomo: E come ti piacerebbe scoprire il mondo dell'opera.,saluti
"Donna: Vorrei imparare a giocare a tennis. Uomo: Inizia con le lezioni, ti faranno progredire rapidamente.",saluti
"Donna: Non ho tempo di andare in palestra oggi. Uomo: Possiamo andarci stasera, se vuoi.",saluti
Donna: Sto cercando un nuovo smartphone economico. Uomo: E quali caratteristiche stai cercando in un cellulare?,affetto
"Donna: Non mi piace il caffè in tarda serata. Uomo: E come ti rilassi in serata, se non con un tè?",saluti
Donna: Vorrei andare in vacanza in Spagna. Uomo: E quali città ti piacciono di più in Spagna?,saluti
Donna: Sto cercando un nuovo paio di scarpe. Uomo: E quali caratteristiche stai cercando in scarpe?,affetto
Donna: Non ho mai visitato il Vaticano. Uomo: Deve essere un luogo unico da visitare.,saluti
"Donna: Sto soffrendo di un raffreddore. Uomo: Bevi un po' di tè caldo, ti farà bene.",saluti
Donna: Non mi piace il rugby. Uomo: E qual sport ti piace?,hobby
Donna: Sto cercando un libro di cucina. Uomo: Quale genere di cucina ami?,saluti
"Donna: Non ho mai visto il lago di Como. Uomo: E com'è bello, è un luogo unico.",apparenza
"Donna: Sto pensando di imparare a suonare il pianoforte. Uomo: Inizia con le lezioni, è un buon inizio.",saluti
"Donna: Non ho tempo di guardare il film oggi. Uomo: Possiamo guardarlo stasera, se vuoi.",saluti
Donna: Vorrei andare in vacanza in Islanda. Uomo: E quali attrazioni ti piacciono di più in Islanda?,saluti
"Donna: Non so come cucinare il pollo al forno. Uomo: Ti insegno a farlo, è facile.",saluti
Donna: Sto cercando un nuovo lavoro in banca. Uomo: Quali sono le tue competenze in banca?,carriera
Donna: Non mi piace il mare in alta stagione. Uomo: E quale momento dell'anno ami per il mare?,saluti
Donna: Sto soffrendo di dolori alla schiena. Uomo: Cerchiamo insieme una soluzione per il tuo problema.,conflitti
Donna: Non ho mai visto un concerto di musica classica. Uomo: E come ti piacerebbe scoprire il mondo della musica classica?,saluti
"Donna: Vorrei imparare a cucinare il risotto. Uomo: Ti insegno a farlo, è un piatto italiano classico.",saluti
"Donna: Non ho tempo di andare in biblioteca oggi. Uomo: Possiamo andarci stasera, se vuoi.",saluti
Donna: Sto cercando un nuovo tablet economico. Uomo: E quali caratteristiche stai cercando in un tablet?,affetto
Donna: Non mi piace il cibo in un ristorante fast food. Uomo: E quale ristorante preferisci?,saluti
Donna: Sto pensando di comprare un nuovo orologio. Uomo: E quali caratteristiche stai cercando in un orologio?,affetto
"Donna: Sono stanchissima, non riesco a lavorare oggi. Uomo: Capisco, forse è meglio prenderti un giorno di riposo.",saluti
"Donna: Il weekend è arrivato, cosa faremmo oggi? Uomo: Potremmo andare in campagna a fare una passeggiata.",saluti
"Donna: Il mio computer non funziona, devo chiamare il tecnico. Uomo: Spero che non sia un problema grave.",conflitti
"Donna: Vorrei un caffè, vuoi venire con me in bar? Uomo: Sì, certo, mi fa piacere.",saluti
"Donna: Ho perso il mio orario dei trasporti, non so quando parte il bus. Uomo: Posso controllare sul mio smartphone.",hobby
"Donna: Non mi piace il cibo in ristorante, preferisco cucinarla io. Uomo: Anch'io, è più sano e personale.",saluti
"Donna: Il mio amico si è sposato, devo scrivere una lettera di auguri. Uomo: Sì, è un'occasione speciale.",saluti
"Donna: La mia macchina è in riparazione, devo prendere un noleggio. Uomo: Ci vorrà un po' di tempo per organizzarsi.",saluti
"Donna: Il mio figlio non vuole andare a scuola, devo parlare con l'insegnante. Uomo: Spero che la soluzione sia facile da trovare.",famiglia
"Donna: Vorrei imparare a suonare il pianoforte, sai di un insegnante? Uomo: C'è un concorso di audizioni in città.",saluti
"Donna: Sono preoccupata per la mia salute, devo andare dal medico. Uomo: Spero che sia solo un problema lieve.",conflitti
"Donna: Il mio libro preferito è ""I promessi sposi"", ti è piaciuto? Uomo: Sì, è un classico della letteratura.",saluti
"Donna: Devo fare i conti per la spesa, non so come calcolare il 10%. Uomo: È semplice, basta moltiplicare per 0,10.",saluti
"Donna: Il mio amico si è trasferito all'estero, devo scrivere una lettera di addio. Uomo: Sì, è un momento difficile.",saluti
"Donna: Vorrei imparare a cucinare la pasta ebraica, hai un'idea? Uomo: C'è un libro di ricette ebraiche in casa.",saluti
"Donna: Il mio cellulare non funziona, devo andare in negozio. Uomo: Spero che non sia un problema grave.",conflitti
"Donna: Il mio vicino di casa è molto inquietante, devo parlarne con mio marito. Uomo: Sì, è meglio affrontare il problema insieme.",conflitti
