frase, categoria
"Uomo: Sono stanco, non ho dormito bene ieri notte. Donna: Povero te, forse un caffè ti riparerà.",saluti
"Uomo: Ho preso un biglietto per il concerto di domane. Donna: Ah, bello! Spero di poterti accompagnare.",apparenza
"Uomo: Sto cercando un nuovo lavoro, non mi piace la mia attuale posizione. Donna: Spero che troverai qualcosa di meglio, presto.",carriera
"Uomo: La mia macchina è in panne, devo andare in riparazione. Donna: Purtroppo, questi problemi non mancano mai.",saluti
"Uomo: Sono in pensiero per la mia salute, ho preso un appuntamento con il medico. Donna: Spero che il dottore ti dirà qualcosa di positivo.",saluti
"Uomo: Sto leggendo un libro molto interessante, ti consiglio di leggerlo. Donna: Grazie, lo aggiungerò alla mia lista di letture.",saluti
"Uomo: Mi dispiace, ma non posso andare al party di domane. Donna: Capisco, spero di vederti al prossimo.",conflitti
"Uomo: Ho bisogno di aiuto per sistemare il mio giardino. Donna: Posso aiutarti, se ti va, la domenica prossima.",saluti
"Uomo: Sto pensando di acquistare un nuovo smartphone. Donna: Aspetta un po', forse ne uscirà una nuova versione.",saluti
"Uomo: Mi piace il tuo nuovo orologio, è molto bello. Donna: Grazie, me l'ha regalato il mio ragazzo.",apparenza
"Uomo: Sto soffrendo di un raffreddore, non posso andare al cinema. Donna: Spero che ti guarisci in fretta, andremo al prossimo film.",saluti
"Uomo: Ho perso il mio portafoglio, spero di trovarlo. Donna: Speriamo entrambi, è un fastidio.",saluti
"Uomo: Sto cercando un appartamento in centro, non mi piace la periferia. Donna: Io concordo, il centro è più comodo.",saluti
"Uomo: Mi dispiace, ma non ho tempo per uscire stasera. Donna: Capisco, forse un'altra sera.",conflitti
"Uomo: Sto imparando a suonare il pianoforte, è molto faticoso. Donna: Spero che ti diverti, è un'attività interessante.",saluti
"Uomo: Ho preso un caffè in macchina, è un'abitudine quotidiana. Donna: Anche a me piace iniziare il giorno con un caffè.",saluti
"Uomo: Sto pensando di viaggiare in Italia, per scoprire la mia cultura. Donna: Sarebbe un'esperienza meravigliosa, ti consiglio di farlo.",saluti
"Uomo: Mi dispiace, ma non posso venire al mio compleanno. Donna: Capisco, spero di festeggiarlo al prossimo.",conflitti
"Uomo: Sto cercando un regalo per il mio amico, non so cosa scegliere. Donna: Forse un oggetto da sport, se è un amante del calcio.",hobby
