frase, categoria
"Uomo 1: ""Come se la passa il Milan nel campionato di calcio? Uomo 2: ""Non va bene hanno perso tre partite di fila c'è preoccupazione per la salvezza.""",saluti
"Uomo 1: ""Come va il tuo weekend? Uomo 2: ""Bene ho fatto un viaggio in montagna con i amici""",saluti
"Uomo 1: ""Come se la passa il calcio in questo campionato? Uomo 2: ""Non è andato bene il mio Inter non vince da mesi.""",hobby
"Uomo 1: ""Come va il tuo weekend  Marco? Uomo 2: ""Sto bene  grazie ho preso un po' di tempo libero per andare in montagna.""",saluti
"Uomo 1: ""Come va il tuo weekend Marco?"" Uomo 2: ""Bene grazie ho fatto un giro in montagna con la famiglia.""",saluti
"Uomo 1: ""Hai visto il nuovo film di De Sica in sala? Uomo 2: ""Sì l'altro ieri mi è piaciuto molto il finale è stato toccante""",saluti
"Uomo 1: ""Come va il tuo giorno?"" Uomo 2: ""Sto bene, grazie, come va a te?""",saluti
"Uomo 1: ""Ho preso un caffè in ufficio"" Uomo 2: ""Anch'io, non posso iniziare il giorno senza""",carriera
"Uomo 1: ""Hai visto il nuovo film di Marvel?"" Uomo 2: ""Sì, è stato molto emozionante, ti consiglio""",saluti
"Uomo 1: ""Mi dispiace per il ritardo, il traffico era terribile"" Uomo 2: ""Non c'è problema, capisco, è successo anche a me""",conflitti
"Uomo 1: ""Vai al mare per il weekend?"" Uomo 2: ""Sì, andrò a Sperlonga con la famiglia""",famiglia
"Uomo 1: ""Come hai risolto il problema con il computer?"" Uomo 2: ""Ho chiamato il tecnico, ha risolto in un'ora""",conflitti
"Uomo 1: ""Hai letto il nuovo libro di De Luca?"" Uomo 2: ""No, non l'ho ancora iniziato, ma lo voglio""",saluti
"Uomo 1: ""Vorrei comprare un nuovo smartphone"" Uomo 2: ""Io sto pensando di cambiare, qual è il tuo?""",saluti
"Uomo 1: ""Hai visto il concerto dei Radiohead?"" Uomo 2: ""Sì, è stato incredibile, la loro musica è unica""",saluti
"Uomo 1: ""Come va il tuo progetto di lavoro?"" Uomo 2: ""Sto lavorando bene, ma c'è molto da fare""",saluti
"Uomo 1: ""Vai in palestra tre volte a settimana?"" Uomo 2: ""Sì, cerco di andarci almeno due volte""",saluti
"Uomo 1: ""Hai preso in considerazione l'offerta di lavoro?"" Uomo 2: ""Sì, sto pensando di accettarla, è un'opportunità""",carriera
"Uomo 1: ""Come hai passato il tuo compleanno?"" Uomo 2: ""Sono andato in montagna con gli amici""",saluti
"Uomo 1: ""Hai visto il nuovo trailer di Star Wars?"" Uomo 2: ""Sì, è stato emozionante, aspetto il nuovo film""",apparenza
"Uomo 1: ""Vorrei imparare a suonare il piano"" Uomo 2: ""Io ci provo da un po', ma non sono bravo""",saluti
